O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,63937,IND,112,641,Graphic Communication,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61286,IND,114,641,Space Planning,3,MW,1230PM,0230PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,61286,IND,114,641,Space Planning,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64966,IND,200,621,Delete Kitchen and Bath Design,4,TR,0800AM,1000AM,FLARMR,RP135,7,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64966,IND,200,621,Kitchen and Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63300,IND,200,641,Kitchen and Bath Design,4,MW,0800AM,1000AM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63300,IND,200,641,Kitchen and Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62843,IND,213,641,IND Portfolio Presentations,3,F,0815AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62843,IND,213,641,IND Portfolio Presentations,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63819,IND,220,641,Interior Design III,3,TR,0245PM,0445PM,FLARMR,RP135,20,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63819,IND,220,641,Interior Design III,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62415,IND,225,641,Lighting Design,3,TR,1230PM,0230PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62415,IND,225,641,Lighting Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62416,IND,231,641,Sustainable Design,3,TR,1015AM,1215PM,FLARMR,RP135,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62416,IND,231,641,Sustainable Design,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63155,IND,261,641,Advanced Kitchen & Bath Design,4,TR,0800AM,1000AM,FLARMR,RP135,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63155,IND,261,641,Advanced Kitchen & Bath Design,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64740,IND,280,601,Internship,4,,,,FLARMR,TBA,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,64741,IND,280,602,Internship,2,,,,FLARMR,TBA,5,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63307,MGD,103,631,Intro to Production Design,3,MW,0700PM,0900PM,FLARMR,RP149,14,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,63647,MGD,104,601,Videography,3,TR,0500PM,0700PM,FLARMR,BP117,10,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60568,MGD,111,601,Adobe Photoshop I,3,MW,0900AM,1100AM,FLARMR,BP117,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,62796,MGD,111,602,Adobe Photoshop I,3,TR,0700PM,0900PM,FLARMR,RP149,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
